,CAPE,CAPE_Tv,CIN,CIN_Tv,Date,Station,Time
303,0.0,0.0,0.0,0.0,1992-01-04,YQI,0
304,0.0,0.0,0.0,0.0,1992-01-04,ABQ,12
305,0.0,0.0,0.0,0.0,1992-01-04,ALB,12
306,0.0,0.0,-98.69806835122951,-92.80269594505106,1992-01-04,AMA,12
307,0.0,0.0,0.0,0.0,1992-01-04,BIS,12
308,0.640436109402226,1.9785875467125849,-0.31618088151206236,0.0,1992-01-04,BNA,12
309,0.0,0.0,0.0,0.0,1992-01-04,BOI,12
310,0.0,0.0,0.0,0.0,1992-01-04,BRO,12
311,0.0,0.0,-9.824691054638786,-7.1716394313152785,1992-01-04,BUF,12
312,0.0,0.0,0.0,0.0,1992-01-04,CAR,12
313,0.0,0.0,0.0,0.0,1992-01-04,CHH,12
314,0.0,0.0,0.0,0.0,1992-01-04,CHS,12
315,0.0,0.0,0.0,0.0,1992-01-04,CRP,12
316,0.0,0.0,0.0,0.0,1992-01-04,DDC,12
317,0.0,0.0,0.0,0.0,1992-01-04,DNR,12
318,0.0,0.0,0.0,0.0,1992-01-04,DRT,12
319,0.0,0.0,0.0,0.0,1992-01-04,GGW,12
320,0.0,0.0,0.0,0.0,1992-01-04,GJT,12
321,0.0,0.0,0.0,0.0,1992-01-04,GRB,12
322,0.0,0.0,0.0,0.0,1992-01-04,GSO,12
323,0.0,0.0,0.0,0.0,1992-01-04,IAD,12
324,0.0,0.0,0.0,0.0,1992-01-04,INL,12
325,0.0,0.0,0.0,0.0,1992-01-04,JAN,12
326,0.0,0.0,0.0,0.0,1992-01-04,LBF,12
327,0.0,0.0,0.0,0.0,1992-01-04,LCH,12
328,0.0,0.0,0.0,0.0,1992-01-04,LIX,12
329,0.0,0.0,0.0,0.0,1992-01-04,LZK,12
330,0.0,0.0,0.0,0.0,1992-01-04,MAF,12
331,0.0,0.0,0.0,0.0,1992-01-04,MFR,12
332,0.0,0.0,0.0,0.0,1992-01-04,NKX,12
333,0.0,0.0,0.0,0.0,1992-01-04,OAK,12
334,0.0,0.0,0.0,0.0,1992-01-04,OUN,12
335,0.0,0.0,0.0,0.0,1992-01-04,PIT,12
336,0.0,0.0,-313.28772352771455,-304.68719036788764,1992-01-04,RAP,12
337,0.0,0.0,0.0,0.0,1992-01-04,SLC,12
338,0.0,0.0,0.0,0.0,1992-01-04,TBW,12
339,0.0,0.0,0.0,0.0,1992-01-04,TLH,12
340,0.0,0.0,0.0,0.0,1992-01-04,TOP,12
341,0.40646971933099413,0.0,-64.20359403025904,-5.36412095936551,1992-01-04,TUS,12
342,0.0,0.0,0.0,0.0,1992-01-04,UIL,12
343,0.0,0.0,0.0,0.0,1992-01-04,WAL,12
344,0.0,0.0,0.0,0.0,1992-01-04,WMW,12
345,0.0,0.0,0.0,0.0,1992-01-04,WPL,12
346,0.0,0.0,0.0,0.0,1992-01-04,YMO,12
347,0.0,0.0,0.0,0.0,1992-01-04,YQI,12
348,0.0,0.0,0.0,0.0,1992-01-05,ABQ,0
349,0.0,0.0,0.0,0.0,1992-01-05,ALB,0
350,0.0,0.0,-34.16275314124028,-16.56190783199469,1992-01-05,AMA,0
351,0.0,0.0,0.0,0.0,1992-01-05,BIS,0
